agent,eval,depth,score
MiniMaxAgent,random_heuristic,3,516
MiniMaxAgent,random_heuristic,3,1156
MiniMaxAgent,random_heuristic,3,1412
MiniMaxAgent,random_heuristic,3,1424
MiniMaxAgent,random_heuristic,3,2572
MiniMaxAgent,random_heuristic,3,548
MiniMaxAgent,random_heuristic,3,772
MiniMaxAgent,random_heuristic,3,1204
MiniMaxAgent,random_heuristic,3,544
MiniMaxAgent,random_heuristic,3,744
MiniMaxAgent,random_heuristic,3,336
MiniMaxAgent,random_heuristic,3,792
MiniMaxAgent,random_heuristic,3,1068
MiniMaxAgent,random_heuristic,3,560
MiniMaxAgent,random_heuristic,3,1116
MiniMaxAgent,random_heuristic,3,1468
MiniMaxAgent,random_heuristic,3,1316
MiniMaxAgent,random_heuristic,3,1340
MiniMaxAgent,random_heuristic,3,2320
MiniMaxAgent,random_heuristic,3,2300
MiniMaxAgent,random_heuristic,3,908
MiniMaxAgent,random_heuristic,3,680
MiniMaxAgent,random_heuristic,3,1140
MiniMaxAgent,random_heuristic,3,1416
MiniMaxAgent,random_heuristic,3,1332
MiniMaxAgent,random_heuristic,3,1020
MiniMaxAgent,random_heuristic,3,312
MiniMaxAgent,random_heuristic,3,628
MiniMaxAgent,random_heuristic,3,632
MiniMaxAgent,random_heuristic,3,1480
MiniMaxAgent,random_heuristic,3,424
MiniMaxAgent,random_heuristic,3,1376
MiniMaxAgent,random_heuristic,3,704
MiniMaxAgent,random_heuristic,3,3004
MiniMaxAgent,random_heuristic,3,1696
MiniMaxAgent,random_heuristic,3,2284
MiniMaxAgent,random_heuristic,3,3924
MiniMaxAgent,random_heuristic,3,1312
MiniMaxAgent,random_heuristic,3,1392
MiniMaxAgent,random_heuristic,3,1624
MiniMaxAgent,random_heuristic,3,1180
MiniMaxAgent,random_heuristic,3,2348
MiniMaxAgent,random_heuristic,3,1616
MiniMaxAgent,random_heuristic,3,800
MiniMaxAgent,random_heuristic,3,1024
MiniMaxAgent,random_heuristic,3,1432
MiniMaxAgent,random_heuristic,3,1184
MiniMaxAgent,random_heuristic,3,1196
MiniMaxAgent,random_heuristic,3,1352
MiniMaxAgent,random_heuristic,3,660
MiniMaxAgent,random_heuristic,3,644
MiniMaxAgent,random_heuristic,3,1616
MiniMaxAgent,random_heuristic,3,1392
MiniMaxAgent,random_heuristic,3,616
MiniMaxAgent,random_heuristic,3,1316
MiniMaxAgent,random_heuristic,3,1288
MiniMaxAgent,random_heuristic,3,1136
MiniMaxAgent,random_heuristic,3,448
MiniMaxAgent,random_heuristic,3,692
MiniMaxAgent,random_heuristic,3,748
MiniMaxAgent,random_heuristic,3,668
MiniMaxAgent,random_heuristic,3,932
MiniMaxAgent,random_heuristic,3,1188
MiniMaxAgent,random_heuristic,3,1180
MiniMaxAgent,corner_heuristic,1,760
MiniMaxAgent,corner_heuristic,1,1264
MiniMaxAgent,corner_heuristic,1,804
MiniMaxAgent,corner_heuristic,1,652
MiniMaxAgent,corner_heuristic,1,536
MiniMaxAgent,corner_heuristic,1,608
MiniMaxAgent,corner_heuristic,1,1948
MiniMaxAgent,corner_heuristic,1,844
MiniMaxAgent,corner_heuristic,1,704
MiniMaxAgent,corner_heuristic,1,496
MiniMaxAgent,corner_heuristic,1,992
MiniMaxAgent,corner_heuristic,1,1224
MiniMaxAgent,corner_heuristic,1,576
MiniMaxAgent,corner_heuristic,1,1676
MiniMaxAgent,corner_heuristic,1,504
MiniMaxAgent,corner_heuristic,1,1476
MiniMaxAgent,corner_heuristic,1,552
MiniMaxAgent,corner_heuristic,1,320
MiniMaxAgent,corner_heuristic,1,488
MiniMaxAgent,corner_heuristic,1,304
MiniMaxAgent,corner_heuristic,1,912
MiniMaxAgent,corner_heuristic,1,732
MiniMaxAgent,corner_heuristic,1,712
MiniMaxAgent,corner_heuristic,1,1536
MiniMaxAgent,corner_heuristic,1,604
MiniMaxAgent,corner_heuristic,1,728
MiniMaxAgent,corner_heuristic,1,540
MiniMaxAgent,corner_heuristic,1,2952
MiniMaxAgent,corner_heuristic,1,980
MiniMaxAgent,corner_heuristic,1,1568
MiniMaxAgent,corner_heuristic,1,628
MiniMaxAgent,corner_heuristic,1,1204
MiniMaxAgent,corner_heuristic,1,3780
MiniMaxAgent,corner_heuristic,1,520
MiniMaxAgent,corner_heuristic,1,288
MiniMaxAgent,corner_heuristic,1,748
MiniMaxAgent,corner_heuristic,1,312
MiniMaxAgent,corner_heuristic,1,712
MiniMaxAgent,corner_heuristic,1,756
MiniMaxAgent,corner_heuristic,1,784
MiniMaxAgent,corner_heuristic,1,644
MiniMaxAgent,corner_heuristic,1,3220
MiniMaxAgent,corner_heuristic,1,576
MiniMaxAgent,corner_heuristic,1,1852
MiniMaxAgent,corner_heuristic,1,1252
MiniMaxAgent,corner_heuristic,1,104
MiniMaxAgent,corner_heuristic,1,928
MiniMaxAgent,corner_heuristic,1,740
MiniMaxAgent,corner_heuristic,1,768
MiniMaxAgent,corner_heuristic,1,236
MiniMaxAgent,corner_heuristic,1,628
MiniMaxAgent,corner_heuristic,1,1036
MiniMaxAgent,corner_heuristic,1,908
MiniMaxAgent,corner_heuristic,1,172
MiniMaxAgent,corner_heuristic,1,544
MiniMaxAgent,corner_heuristic,1,360
MiniMaxAgent,corner_heuristic,1,656
MiniMaxAgent,corner_heuristic,1,1204
MiniMaxAgent,corner_heuristic,1,796
MiniMaxAgent,corner_heuristic,1,880
MiniMaxAgent,corner_heuristic,1,1096
MiniMaxAgent,corner_heuristic,1,424
MiniMaxAgent,corner_heuristic,1,3560
MiniMaxAgent,corner_heuristic,1,1592
MiniMaxAgent,corner_heuristic,1,596
MiniMaxAgent,corner_heuristic,1,928
MiniMaxAgent,corner_heuristic,1,732
MiniMaxAgent,corner_heuristic,1,1340
MiniMaxAgent,corner_heuristic,1,296
MiniMaxAgent,corner_heuristic,1,1000
MiniMaxAgent,corner_heuristic,1,1472
MiniMaxAgent,corner_heuristic,1,276
MiniMaxAgent,corner_heuristic,1,428
MiniMaxAgent,corner_heuristic,1,1608
MiniMaxAgent,corner_heuristic,1,692
MiniMaxAgent,corner_heuristic,1,328
MiniMaxAgent,corner_heuristic,1,596
MiniMaxAgent,corner_heuristic,1,376
MiniMaxAgent,corner_heuristic,1,1608
MiniMaxAgent,corner_heuristic,1,700
MiniMaxAgent,corner_heuristic,1,616
MiniMaxAgent,corner_heuristic,1,1680
MiniMaxAgent,corner_heuristic,1,616
MiniMaxAgent,corner_heuristic,1,1228
MiniMaxAgent,corner_heuristic,1,1420
MiniMaxAgent,corner_heuristic,1,748
MiniMaxAgent,corner_heuristic,1,1152
MiniMaxAgent,corner_heuristic,1,1436
MiniMaxAgent,corner_heuristic,1,1832
MiniMaxAgent,corner_heuristic,1,260
MiniMaxAgent,corner_heuristic,1,2316
MiniMaxAgent,corner_heuristic,1,652
MiniMaxAgent,corner_heuristic,1,688
MiniMaxAgent,corner_heuristic,1,264
MiniMaxAgent,corner_heuristic,1,680
MiniMaxAgent,corner_heuristic,1,452
MiniMaxAgent,corner_heuristic,1,1660
MiniMaxAgent,corner_heuristic,1,800
MiniMaxAgent,corner_heuristic,1,832
MiniMaxAgent,corner_heuristic,1,3124
MiniMaxAgent,corner_heuristic,2,732
MiniMaxAgent,corner_heuristic,2,1080
MiniMaxAgent,corner_heuristic,2,584
MiniMaxAgent,corner_heuristic,2,828
MiniMaxAgent,corner_heuristic,2,1036
MiniMaxAgent,corner_heuristic,2,1848
MiniMaxAgent,corner_heuristic,2,280
MiniMaxAgent,corner_heuristic,2,2284
MiniMaxAgent,corner_heuristic,2,396
MiniMaxAgent,corner_heuristic,2,876
MiniMaxAgent,corner_heuristic,2,224
MiniMaxAgent,corner_heuristic,2,1104
MiniMaxAgent,corner_heuristic,2,724
MiniMaxAgent,corner_heuristic,2,652
MiniMaxAgent,corner_heuristic,2,2496
MiniMaxAgent,corner_heuristic,2,652
MiniMaxAgent,corner_heuristic,2,1016
MiniMaxAgent,corner_heuristic,2,1496
MiniMaxAgent,corner_heuristic,2,672
MiniMaxAgent,corner_heuristic,2,1916
MiniMaxAgent,corner_heuristic,2,556
MiniMaxAgent,corner_heuristic,2,820
MiniMaxAgent,corner_heuristic,2,1620
MiniMaxAgent,corner_heuristic,2,400
MiniMaxAgent,corner_heuristic,2,284
MiniMaxAgent,corner_heuristic,2,1600
MiniMaxAgent,corner_heuristic,2,508
MiniMaxAgent,corner_heuristic,2,380
MiniMaxAgent,corner_heuristic,2,1808
MiniMaxAgent,corner_heuristic,2,380
MiniMaxAgent,corner_heuristic,2,412
MiniMaxAgent,corner_heuristic,2,1412
MiniMaxAgent,corner_heuristic,2,380
MiniMaxAgent,corner_heuristic,2,852
MiniMaxAgent,corner_heuristic,2,1100
MiniMaxAgent,corner_heuristic,2,260
MiniMaxAgent,corner_heuristic,2,568
MiniMaxAgent,corner_heuristic,2,1044
MiniMaxAgent,corner_heuristic,2,1384
MiniMaxAgent,corner_heuristic,2,820
MiniMaxAgent,corner_heuristic,2,936
MiniMaxAgent,corner_heuristic,2,432
MiniMaxAgent,corner_heuristic,2,332
MiniMaxAgent,corner_heuristic,2,304
MiniMaxAgent,corner_heuristic,2,1084
MiniMaxAgent,corner_heuristic,2,2504
MiniMaxAgent,corner_heuristic,2,352
MiniMaxAgent,corner_heuristic,2,1472
MiniMaxAgent,corner_heuristic,2,1668
MiniMaxAgent,corner_heuristic,2,1484
MiniMaxAgent,corner_heuristic,2,488
MiniMaxAgent,corner_heuristic,2,704
MiniMaxAgent,corner_heuristic,2,1220
MiniMaxAgent,corner_heuristic,2,844
MiniMaxAgent,corner_heuristic,2,1168
MiniMaxAgent,corner_heuristic,2,1340
MiniMaxAgent,corner_heuristic,2,516
MiniMaxAgent,corner_heuristic,2,784
MiniMaxAgent,corner_heuristic,2,1316
MiniMaxAgent,corner_heuristic,2,1620
MiniMaxAgent,corner_heuristic,2,640
MiniMaxAgent,corner_heuristic,2,1588
MiniMaxAgent,corner_heuristic,2,1740
MiniMaxAgent,corner_heuristic,2,1264
MiniMaxAgent,corner_heuristic,2,1808
MiniMaxAgent,corner_heuristic,2,340
MiniMaxAgent,corner_heuristic,2,1744
MiniMaxAgent,corner_heuristic,2,1168
MiniMaxAgent,corner_heuristic,2,1200
MiniMaxAgent,corner_heuristic,2,852
MiniMaxAgent,corner_heuristic,2,984
MiniMaxAgent,corner_heuristic,2,1468
MiniMaxAgent,corner_heuristic,2,1132
MiniMaxAgent,corner_heuristic,2,2072
MiniMaxAgent,corner_heuristic,2,1452
MiniMaxAgent,corner_heuristic,2,3292
MiniMaxAgent,corner_heuristic,2,404
MiniMaxAgent,corner_heuristic,2,484
MiniMaxAgent,corner_heuristic,2,2588
MiniMaxAgent,corner_heuristic,2,680
MiniMaxAgent,corner_heuristic,2,1500
MiniMaxAgent,corner_heuristic,2,424
MiniMaxAgent,corner_heuristic,2,3224
MiniMaxAgent,corner_heuristic,2,704
MiniMaxAgent,corner_heuristic,2,756
MiniMaxAgent,corner_heuristic,2,1456
MiniMaxAgent,corner_heuristic,2,1132
MiniMaxAgent,corner_heuristic,2,3176
MiniMaxAgent,corner_heuristic,2,1648
MiniMaxAgent,corner_heuristic,2,996
MiniMaxAgent,corner_heuristic,2,2532
MiniMaxAgent,corner_heuristic,2,812
MiniMaxAgent,corner_heuristic,2,592
MiniMaxAgent,corner_heuristic,2,788
MiniMaxAgent,corner_heuristic,2,860
MiniMaxAgent,corner_heuristic,2,576
MiniMaxAgent,corner_heuristic,2,460
MiniMaxAgent,corner_heuristic,2,368
MiniMaxAgent,corner_heuristic,2,876
MiniMaxAgent,corner_heuristic,2,668
MiniMaxAgent,corner_heuristic,3,416
MiniMaxAgent,corner_heuristic,3,164
MiniMaxAgent,corner_heuristic,3,160
MiniMaxAgent,corner_heuristic,3,216
MiniMaxAgent,corner_heuristic,3,280
MiniMaxAgent,corner_heuristic,3,184
MiniMaxAgent,corner_heuristic,3,92
MiniMaxAgent,corner_heuristic,3,200
MiniMaxAgent,corner_heuristic,3,140
MiniMaxAgent,corner_heuristic,3,188
MiniMaxAgent,corner_heuristic,3,160
MiniMaxAgent,corner_heuristic,3,404
MiniMaxAgent,corner_heuristic,3,256
MiniMaxAgent,corner_heuristic,3,156
MiniMaxAgent,corner_heuristic,3,208
MiniMaxAgent,corner_heuristic,3,236
MiniMaxAgent,corner_heuristic,3,104
MiniMaxAgent,corner_heuristic,3,184
MiniMaxAgent,corner_heuristic,3,748
MiniMaxAgent,corner_heuristic,3,80
MiniMaxAgent,corner_heuristic,3,176
MiniMaxAgent,corner_heuristic,3,188
MiniMaxAgent,corner_heuristic,3,108
MiniMaxAgent,corner_heuristic,3,248
MiniMaxAgent,corner_heuristic,3,388
MiniMaxAgent,corner_heuristic,3,292
MiniMaxAgent,corner_heuristic,3,232
MiniMaxAgent,corner_heuristic,3,200
MiniMaxAgent,corner_heuristic,3,372
MiniMaxAgent,corner_heuristic,3,196
MiniMaxAgent,corner_heuristic,3,140
MiniMaxAgent,corner_heuristic,3,492
MiniMaxAgent,corner_heuristic,3,108
MiniMaxAgent,corner_heuristic,3,112
MiniMaxAgent,corner_heuristic,3,100
MiniMaxAgent,corner_heuristic,3,128
MiniMaxAgent,corner_heuristic,3,124
MiniMaxAgent,corner_heuristic,3,320
MiniMaxAgent,corner_heuristic,3,104
MiniMaxAgent,corner_heuristic,3,136
MiniMaxAgent,corner_heuristic,3,176
MiniMaxAgent,corner_heuristic,3,244
MiniMaxAgent,corner_heuristic,3,260
MiniMaxAgent,corner_heuristic,3,112
MiniMaxAgent,corner_heuristic,3,280
MiniMaxAgent,corner_heuristic,3,332
MiniMaxAgent,corner_heuristic,3,300
MiniMaxAgent,corner_heuristic,3,76
MiniMaxAgent,corner_heuristic,3,224
MiniMaxAgent,corner_heuristic,3,160
MiniMaxAgent,corner_heuristic,3,272
MiniMaxAgent,corner_heuristic,3,404
MiniMaxAgent,corner_heuristic,3,260
MiniMaxAgent,corner_heuristic,3,132
MiniMaxAgent,corner_heuristic,3,76
